DS1,DS2,DS3,DS4,DS5,DS6,DS7,BR1
1481.119658,1461.482575,1784.604524,950.653356,1272.776471,1353.018278,918.1764706,1247.991998
1186.84556,1610.976296,1923.152258,2933.2698,1156.628136,1610.366539,1006.324723,1312.544293
1133.110345,1237.727088,1333.981118,1342.419155,1166.765618,1247.7,1229.561824,1084.220379
1807.815686,1694.295383,1583.326432,1241.220453,1087.774393,1355.129761,1492.00199,1229.124532
1377.533125,1151.22002,1140.22871,1009.452482,1172.2315,1451.472603,960.4132926,1248.782699
1647.73562,904,1705.951678,1429.336693,1175.350465,1267.633625,1301.675108,1008.47874
1399.358083,1573.464581,2338.288269,1200.061825,1141.668667,1351.952949,1464.947476,1398.086619
2216.553073,1464.950057,1140.442259,1186.042923,1161.563725,1152.973304,1605.1875,1043.345258
1141.041023,1313.678992,1113.003781,1919.298156,1228.887107,1442.366575,996.3235564,1289.433291
1567.53174,1907.801403,2079.556413,1630.073378,1292.720851,1789.951042,1504.72866,869.825
1597.787942,1198.583333,1501.518469,1256.454911,1319.202927,1457.509825,1101.966733,1164.33908
1439.81825,1880.151316,1364.712684,1315.976766,1022.43381,1750.586314,1697.252264,983.3575198
2003.067287,1319.800371,1389.692152,1532.923077,1236.556288,1957.16348,1039.451419,1382.6853
1197.748276,986.8488253,1156.076968,1422.497166,1344.566574,1188.635344,1205.738295,911.3333333
1458.63413,1250.054605,1659.642916,1646.604223,1395.439051,2653.39364,1416.633948,1316.193182
1293.244127,2092.553604,1371.229767,1052.998526,1044.160745,1125.589342,995.1195185,1115.259908
1746.02148,1839.450342,1085.177429,2068.57435,1079.973966,2221.211382,962.1685315,1222.725557
1184.413093,1836.718866,1789.29204,1437.804533,1179.365295,2338.894417,1550.827006,1090.323907
2127.215392,1917.920153,1747.612463,956.5231236,1074.206304,1277.307114,1208.019759,1205.581204
2097.62328,1575.685243,1220.451705,1717.107317,997.7805362,1497.666667,1580.722651,1250.286585
2013.163816,1294.589174,1019.566387,1442.255109,1325.023629,1634.927861,2000.274266,1215.742424
1585.39803,1100.349869,1619.981763,1476.248898,1269.004658,1573.64111,1327.639987,987.7751397
1880.012386,1459.958333,1212.408264,1170.935753,1190.004933,1145.04581,2043.966844,1443.908748
1572.603439,1548.842857,1258.910374,1649.563564,1162.989289,1558.425781,2305.563847,1217.831641
1288.287255,1269.066462,1959.420605,1686.328545,1301.079182,1653.878368,1168.113881,1008.259528
1426.896694,1794.856305,1120.534483,1217.800151,956.7226246,1193.77999,882.0291577,1322.338954
1201.39442,2035.389788,1578.693095,1741.494461,1038.53352,1930.808544,1425.577219,1011.882192
1683.033973,1689.418126,1827.70664,1025.750198,1142.084762,1253.17971,1002.909091,1148.914696
1592.947528,1502.551858,2584.664776,1038.993666,1476.03854,1647.205342,1234.606132,1223.927869
1414.073733,1531.653285,1525.631468,1114.602239,1296.613678,1735.73074,1290.452937,1255.579299
1471.106145,1449.328807,1130.937918,1383.086848,1162.590707,1517.830998,1046.690895,1040.314035
1570.039353,1584.780409,1351.419305,1405.884222,835.3828671,1620.571533,1079.089689,974.5980707
1372.723677,1213.105997,1524.290253,1253.384318,1132.864688,1234.562743,2045.436872,1271.013728
2277.692616,2019.195305,2675.030303,1249.087596,1322.468312,1697.292574,1548.219388,1350.065613
1139.050889,1313.883085,1895.649294,1194.821626,1356.405569,1458.49631,1067.278977,1295.386067
1734.808642,1279.797258,1720.265372,1306.435979,1222.620663,1093.906446,2073.096543,1183.000808
1421.201192,1381.962294,1238.871966,1074.97383,1477.346226,1582.618363,1382.603827,1193.687631
1690.996976,1820.473488,1567.171856,1933.86766,1184.240478,1390.525578,2667.023116,1056.042781
1502.526099,1456.272607,1685.945321,1784.800777,1102.909968,1501.641544,1949.666957,920.7899461
1593.736575,1656.272843,1500.5851,1092.738839,1121.490048,2237.07619,2086.511273,1035.122739
1485.943907,1322.089168,1650.03115,1263.220271,1570.651128,1704.293683,1391.091707,1288.088059
1628.457037,978.2772727,1684.32003,1003.794896,1058.959512,1727.932087,1378.044843,1260.985806
1415.876534,1836.19912,1669.956485,1930.577778,1562.981928,1279.529206,1298.135249,1318.934605
1668.114447,1726.814348,1189.604695,1516.149959,1386.867785,1826.847543,1105.275637,1070.974922
1606.240611,1430.645064,1869.75629,1562.274722,1377.202091,2484.974194,1555.326637,1190
1772.894737,1924.204912,1770.260762,917.7064882,1681.412225,1769.070872,1218.157415,902.8943966
1148.165939,2141.121453,1044.392245,1470.486842,1274.047809,1242.278736,1360.133989,1224.353801
1530.821229,1406.474112,1496.414485,1498.9317,1324.284553,2251.475018,1395.7332,1738.150352
1523.261556,1573.809612,1679.881826,1233.218595,1261.572376,2204.501082,1553.5543,1280.058148
1516.328844,1301.343518,1402.708999,1902.799506,1621.177598,2402.634439,1758.818135,1247.910697
1779.63859,1345.81348,1665.103746,934.5517241,1286.099611,1636.73406,1085.581431,1547.711185
1742.098454,1419.321885,2064.019931,1176.70538,1053.474005,1512.623403,1254.26835,1274.235206
1684.133011,1385.815769,1425.588303,1266.170588,1180.859456,1288.697805,2155.247129,1401.738542
1483.477097,1873.348447,1746.232449,1494.46164,1359.41971,1513.044934,1545.035131,1305.99058
1611.688341,1697.621123,1990.162245,1217.330859,1036.218462,1616.313851,2528.816901,1431.990223
1254.038678,2074.940375,1146.932039,958.6718881,1142.862641,1817.955522,2189.105816,1228.750181
2351.998602,1178.932655,1227.478873,1474.875278,3110.944364,1483.208092,1401.806916,1266.580101
2252.512331,1868.513986,1250.473609,2197.432003,1266.232598,1383.300156,1585.412234,907.8439024
1938.645117,2017.468489,1601.981424,1174.50754,2973.540219,2020.524079,942.8558481,1325.602079
2600.169402,2775.498873,1412.208556,1066.045534,1154.039392,1913.982193,1490.53484,1572.233879
1536.302866,2015.668311,1391.326554,1319.125827,1439.781839,1433.897907,1058.114833,1308.210052
1339.315895,1829.896735,1225.989311,1531.404247,1120.121896,1997.851969,1131.025601,1158.786951
2061.860227,1298.438328,2374.242091,1646.185615,1097.84861,2007.089327,1366.656177,1807.718783
