Well,Colony,CellCount,Time_Day,Erl,SB,An,Cell.line,Plate
B02,A,56,0,0,10,0,PC9.sp,SB.plate
B02,A,113,1,0,10,0,PC9.sp,SB.plate
B02,A,130,2,0,10,0,PC9.sp,SB.plate
B02,A,134,3,0,10,0,PC9.sp,SB.plate
B02,B,26,0,0,10,0,PC9.sp,SB.plate
B02,B,48,1,0,10,0,PC9.sp,SB.plate
B02,B,56,2,0,10,0,PC9.sp,SB.plate
B02,B,66,3,0,10,0,PC9.sp,SB.plate
B02,C,18,0,0,10,0,PC9.sp,SB.plate
B02,C,29,1,0,10,0,PC9.sp,SB.plate
B02,C,32,2,0,10,0,PC9.sp,SB.plate
B02,C,37,3,0,10,0,PC9.sp,SB.plate
B02,D,57,0,0,10,0,PC9.sp,SB.plate
B02,D,89,1,0,10,0,PC9.sp,SB.plate
B02,D,143,2,0,10,0,PC9.sp,SB.plate
B02,D,168,3,0,10,0,PC9.sp,SB.plate
B02,E,57,0,0,10,0,PC9.sp,SB.plate
B02,E,82,1,0,10,0,PC9.sp,SB.plate
B02,E,120,2,0,10,0,PC9.sp,SB.plate
B02,E,142,3,0,10,0,PC9.sp,SB.plate
B02,F,25,0,0,10,0,PC9.sp,SB.plate
B02,F,47,1,0,10,0,PC9.sp,SB.plate
B02,F,64,2,0,10,0,PC9.sp,SB.plate
B02,F,72,3,0,10,0,PC9.sp,SB.plate
B02,G,27,0,0,10,0,PC9.sp,SB.plate
B02,G,47,1,0,10,0,PC9.sp,SB.plate
B02,G,67,2,0,10,0,PC9.sp,SB.plate
B02,G,70,3,0,10,0,PC9.sp,SB.plate
B02,H,51,0,0,10,0,PC9.sp,SB.plate
B02,H,69,1,0,10,0,PC9.sp,SB.plate
B02,H,83,2,0,10,0,PC9.sp,SB.plate
B02,H,94,3,0,10,0,PC9.sp,SB.plate
B02,I,29,0,0,10,0,PC9.sp,SB.plate
B02,I,44,1,0,10,0,PC9.sp,SB.plate
