Well ,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,Plate
B02,A,35,0,0,500,0,0,0,1
B02,A,42,1,0,500,0,0,0,1
B02,A,45,2,0,500,0,0,0,1
B02,A,48,3,0,500,0,0,0,1
B02,A,45,4,0,500,0,0,0,1
B02,A,50,5,0,500,0,0,0,1
B02,A,47,6,0,500,0,0,0,1
B02,A,50,7,0,500,0,0,0,1
B02,A,51,8,0,500,0,0,0,1
B02,A,53,9,0,500,0,0,0,1
B02,A,59,10,0,500,0,0,0,1
B02,B,55,0,0,500,0,0,0,1
B02,B,73,1,0,500,0,0,0,1
B02,B,84,2,0,500,0,0,0,1
B02,B,90,3,0,500,0,0,0,1
B02,B,107,4,0,500,0,0,0,1
B02,B,103,5,0,500,0,0,0,1
B02,B,119,6,0,500,0,0,0,1
B02,B,135,7,0,500,0,0,0,1
B02,B,153,8,0,500,0,0,0,1
B02,B,174,9,0,500,0,0,0,1
B02,B,195,10,0,500,0,0,0,1
B02,C,30,0,0,500,0,0,0,1
B02,C,39,1,0,500,0,0,0,1
B02,C,49,2,0,500,0,0,0,1
B02,C,46,3,0,500,0,0,0,1
B02,C,48,4,0,500,0,0,0,1
B02,C,44,5,0,500,0,0,0,1
B02,C,57,6,0,500,0,0,0,1
B02,C,59,7,0,500,0,0,0,1
B02,C,60,8,0,500,0,0,0,1
B02,C,64,9,0,500,0,0,0,1
B02,C,65,10,0,500,0,0,0,1
B02,D,60,0,0,500,0,0,0,1
B02,D,88,1,0,500,0,0,0,1
B02,D,88,2,0,500,0,0,0,1
B02,D,85,3,0,500,0,0,0,1
B02,D,94,4,0,500,0,0,0,1
B02,D,97,5,0,500,0,0,0,1
B02,D,96,6,0,500,0,0,0,1
B02,D,104,7,0,500,0,0,0,1
B02,D,126,8,0,500,0,0,0,1
B02,D,133,9,0,500,0,0,0,1
B02,D,153,10,0,500,0,0,0,1
B02,E,32,0,0,500,0,0,0,1
B02,E,34,1,0,500,0,0,0,1
B02,E,44,2,0,500,0,0,0,1
B02,E,48,3,0,500,0,0,0,1
B02,E,49,4,0,500,0,0,0,1
B02,E,49,5,0,500,0,0,0,1
B02,E,45,6,0,500,0,0,0,1
B02,E,48,7,0,500,0,0,0,1
B02,E,47,8,0,500,0,0,0,1
B02,E,51,9,0,500,0,0,0,1
B02,E,44,10,0,500,0,0,0,1
B02,F,14,0,0,500,0,0,0,1
B02,F,20,1,0,500,0,0,0,1
B02,F,25,2,0,500,0,0,0,1
B02,F,29,3,0,500,0,0,0,1
B02,F,28,4,0,500,0,0,0,1
B02,F,30,5,0,500,0,0,0,1
B02,F,31,6,0,500,0,0,0,1
B02,F,42,7,0,500,0,0,0,1
B02,F,44,8,0,500,0,0,0,1
B02,F,53,9,0,500,0,0,0,1
B02,F,53,10,0,500,0,0,0,1
B02,G,29,0,0,500,0,0,0,1
B02,G,45,1,0,500,0,0,0,1
B02,G,48,2,0,500,0,0,0,1
B02,G,48,3,0,500,0,0,0,1
B02,G,50,4,0,500,0,0,0,1
B02,G,48,5,0,500,0,0,0,1
B02,G,39,6,0,500,0,0,0,1
B02,G,59,7,0,500,0,0,0,1
B02,G,64,8,0,500,0,0,0,1
B02,G,66,9,0,500,0,0,0,1
B02,G,68,10,0,500,0,0,0,1
B02,H,52,0,0,500,0,0,0,1
B02,H,64,1,0,500,0,0,0,1
B02,H,68,2,0,500,0,0,0,1
B02,H,78,3,0,500,0,0,0,1
B02,H,84,4,0,500,0,0,0,1
B02,H,80,5,0,500,0,0,0,1
B02,H,83,6,0,500,0,0,0,1
B02,H,82,7,0,500,0,0,0,1
B02,H,87,8,0,500,0,0,0,1
B02,H,100,9,0,500,0,0,0,1
B02,H,108,10,0,500,0,0,0,1
B02,I,31,0,0,500,0,0,0,1
B02,I,36,1,0,500,0,0,0,1
B02,I,43,2,0,500,0,0,0,1
B02,I,47,3,0,500,0,0,0,1
B02,I,51,4,0,500,0,0,0,1
B02,I,48,5,0,500,0,0,0,1
B02,I,52,6,0,500,0,0,0,1
B02,I,56,7,0,500,0,0,0,1
B02,I,57,8,0,500,0,0,0,1
B02,I,57,9,0,500,0,0,0,1
B02,I,62,10,0,500,0,0,0,1
B02,J,36,0,0,500,0,0,0,1
B02,J,40,1,0,500,0,0,0,1
B02,J,42,2,0,500,0,0,0,1
B02,J,53,3,0,500,0,0,0,1
B02,J,58,4,0,500,0,0,0,1
B02,J,67,5,0,500,0,0,0,1
B02,J,73,6,0,500,0,0,0,1
B02,J,81,7,0,500,0,0,0,1
B02,J,88,8,0,500,0,0,0,1
B02,J,92,9,0,500,0,0,0,1
B02,J,105,10,0,500,0,0,0,1
B02,K,15,0,0,500,0,0,0,1
B02,K,16,1,0,500,0,0,0,1
B02,K,18,2,0,500,0,0,0,1
B02,K,15,3,0,500,0,0,0,1
B02,K,21,4,0,500,0,0,0,1
B02,K,22,5,0,500,0,0,0,1
B02,K,21,6,0,500,0,0,0,1
B02,K,22,7,0,500,0,0,0,1
B02,K,25,8,0,500,0,0,0,1
B02,K,26,9,0,500,0,0,0,1
B02,K,30,10,0,500,0,0,0,1
B02,L,16,0,0,500,0,0,0,1
B02,L,18,1,0,500,0,0,0,1
B02,L,20,2,0,500,0,0,0,1
B02,L,18,3,0,500,0,0,0,1
B02,L,21,4,0,500,0,0,0,1
B02,L,21,5,0,500,0,0,0,1
B02,L,22,6,0,500,0,0,0,1
B02,L,23,7,0,500,0,0,0,1
B02,L,22,8,0,500,0,0,0,1
B02,L,26,9,0,500,0,0,0,1
B02,L,25,10,0,500,0,0,0,1
B02,M,33,0,0,500,0,0,0,1
B02,M,31,1,0,500,0,0,0,1
B02,M,30,2,0,500,0,0,0,1
B02,M,32,3,0,500,0,0,0,1
B02,M,35,4,0,500,0,0,0,1
B02,M,36,5,0,500,0,0,0,1
B02,M,34,6,0,500,0,0,0,1
B02,M,39,7,0,500,0,0,0,1
B02,M,41,8,0,500,0,0,0,1
B02,M,40,9,0,500,0,0,0,1
B02,M,33,10,0,500,0,0,0,1
B02,N,32,0,0,500,0,0,0,1
B02,N,38,1,0,500,0,0,0,1
B02,N,40,2,0,500,0,0,0,1
B02,N,44,3,0,500,0,0,0,1
B02,N,51,4,0,500,0,0,0,1
B02,N,54,5,0,500,0,0,0,1
B02,N,64,6,0,500,0,0,0,1
B02,N,62,7,0,500,0,0,0,1
B02,N,66,8,0,500,0,0,0,1
B02,N,72,9,0,500,0,0,0,1
B02,N,82,10,0,500,0,0,0,1
B02,O,26,0,0,500,0,0,0,1
B02,O,32,1,0,500,0,0,0,1
B02,O,35,2,0,500,0,0,0,1
B02,O,33,3,0,500,0,0,0,1
B02,O,36,4,0,500,0,0,0,1
B02,O,39,5,0,500,0,0,0,1
B02,O,48,6,0,500,0,0,0,1
B02,O,58,7,0,500,0,0,0,1
B02,O,65,8,0,500,0,0,0,1
B02,O,65,9,0,500,0,0,0,1
B02,O,79,10,0,500,0,0,0,1
B02,P,60,0,0,500,0,0,0,1
B02,P,73,1,0,500,0,0,0,1
B02,P,88,2,0,500,0,0,0,1
B02,P,97,3,0,500,0,0,0,1
B02,P,103,4,0,500,0,0,0,1
B02,P,109,5,0,500,0,0,0,1
