Expt,Well,Colony,Cell.count,Time_day,Condition,Cell.line
X20120410,G08,Senescent,14,0,Erlotinib,PC9.par
X20120410,G08,Senescent,15,1,Erlotinib,PC9.par
X20120410,G08,Senescent,17,2,Erlotinib,PC9.par
X20120410,G08,Senescent,22,3,Erlotinib,PC9.par
X20120410,G08,Senescent,20,4,Erlotinib,PC9.par
X20120410,G08,Senescent,23,5,Erlotinib,PC9.par
X20120410,G08,Senescent,23,6,Erlotinib,PC9.par
X20120410,G08,Senescent,25,7,Erlotinib,PC9.par
X20120410,G08,Senescent,25,8,Erlotinib,PC9.par
X20120410,G08,Senescent,28,9,Erlotinib,PC9.par
X20120410,G08,Senescent,29,10,Erlotinib,PC9.par
X20120410,G08,Flat,16,0,Erlotinib,PC9.par
X20120410,G08,Flat,20,1,Erlotinib,PC9.par
X20120410,G08,Flat,23,2,Erlotinib,PC9.par
X20120410,G08,Flat,25,3,Erlotinib,PC9.par
X20120410,G08,Flat,24,4,Erlotinib,PC9.par
X20120410,G08,Flat,22,5,Erlotinib,PC9.par
X20120410,G08,Flat,20,6,Erlotinib,PC9.par
X20120410,G08,Flat,20,7,Erlotinib,PC9.par
X20120410,G08,Flat,19,8,Erlotinib,PC9.par
X20120410,G08,Flat,13,9,Erlotinib,PC9.par
X20120410,G08,Flat,12,10,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,14,0,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,17,1,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,19,2,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,14,3,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,12,4,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,11,5,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,8,6,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,9,7,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,7,8,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,4,9,Erlotinib,PC9.par
X20120410,G08,Cytoplasmic,4,10,Erlotinib,PC9.par
X20120410,G07,Ruffling,12,0,Erlotinib,PC9.par
X20120410,G07,Ruffling,18,1,Erlotinib,PC9.par
X20120410,G07,Ruffling,14,2,Erlotinib,PC9.par
X20120410,G07,Ruffling,12,3,Erlotinib,PC9.par
X20120410,G07,Ruffling,11,4,Erlotinib,PC9.par
X20120410,G07,Ruffling,11,5,Erlotinib,PC9.par
X20120410,G07,Ruffling,6,6,Erlotinib,PC9.par
X20120410,G07,Ruffling,5,7,Erlotinib,PC9.par
X20120410,G07,Ruffling,5,8,Erlotinib,PC9.par
X20120410,G07,Ruffling,2,9,Erlotinib,PC9.par
X20120410,G07,Ruffling,2,10,Erlotinib,PC9.par
X20120410,G07,HiContrast,32,0,Erlotinib,PC9.par
X20120410,G07,HiContrast,38,1,Erlotinib,PC9.par
X20120410,G07,HiContrast,44,2,Erlotinib,PC9.par
X20120410,G07,HiContrast,38,3,Erlotinib,PC9.par
X20120410,G07,HiContrast,37,4,Erlotinib,PC9.par
X20120410,G07,HiContrast,38,5,Erlotinib,PC9.par
X20120410,G07,HiContrast,33,6,Erlotinib,PC9.par
X20120410,G07,HiContrast,31,7,Erlotinib,PC9.par
X20120410,G07,HiContrast,30,8,Erlotinib,PC9.par
X20120410,G07,HiContrast,26,9,Erlotinib,PC9.par
X20120410,G07,HiContrast,28,10,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,27,0,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,36,1,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,42,2,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,37,3,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,35,4,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,33,5,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,19,6,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,15,7,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,15,8,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,9,9,Erlotinib,PC9.par
X20120410,G07,Cytoplasmic,9,10,Erlotinib,PC9.par
X20120410,G06,Big,7,0,Erlotinib,PC9.par
X20120410,G06,Big,9,1,Erlotinib,PC9.par
X20120410,G06,Big,11,2,Erlotinib,PC9.par
X20120410,G06,Big,10,3,Erlotinib,PC9.par
X20120410,G06,Big,9,4,Erlotinib,PC9.par
X20120410,G06,Big,7,5,Erlotinib,PC9.par
X20120410,G06,Big,1,6,Erlotinib,PC9.par
X20120410,G06,Big,1,7,Erlotinib,PC9.par
X20120410,G06,Big,1,8,Erlotinib,PC9.par
X20120410,G06,Big,1,9,Erlotinib,PC9.par
X20120410,G06,Big,1,10,Erlotinib,PC9.par
X20120410,F07,Z,21,0,Erlotinib,PC9.par
X20120410,F07,Z,22,1,Erlotinib,PC9.par
X20120410,F07,Z,22,2,Erlotinib,PC9.par
X20120410,F07,Z,23,3,Erlotinib,PC9.par
X20120410,F07,Z,20,4,Erlotinib,PC9.par
X20120410,F07,Z,19,5,Erlotinib,PC9.par
X20120410,F07,Z,15,6,Erlotinib,PC9.par
X20120410,F07,Z,15,7,Erlotinib,PC9.par
X20120410,F07,Z,11,8,Erlotinib,PC9.par
X20120410,F07,Z,8,9,Erlotinib,PC9.par
X20120410,F07,Z,5,10,Erlotinib,PC9.par
X20120410,F06,Senescent,20,0,Erlotinib,PC9.par
X20120410,F06,Senescent,21,1,Erlotinib,PC9.par
X20120410,F06,Senescent,21,2,Erlotinib,PC9.par
X20120410,F06,Senescent,14,3,Erlotinib,PC9.par
X20120410,F06,Senescent,13,4,Erlotinib,PC9.par
X20120410,F06,Senescent,10,5,Erlotinib,PC9.par
X20120410,F06,Senescent,6,6,Erlotinib,PC9.par
X20120410,F06,Senescent,6,7,Erlotinib,PC9.par
X20120410,F06,Senescent,6,8,Erlotinib,PC9.par
X20120410,F06,Senescent,3,9,Erlotinib,PC9.par
X20120410,F06,Senescent,4,10,Erlotinib,PC9.par
X20120410,F07,Motile,30,0,Erlotinib,PC9.par
X20120410,F07,Motile,55,1,Erlotinib,PC9.par
X20120410,F07,Motile,84,2,Erlotinib,PC9.par
X20120410,F07,Motile,85,3,Erlotinib,PC9.par
X20120410,F07,Motile,93,4,Erlotinib,PC9.par
X20120410,F07,Motile,84,5,Erlotinib,PC9.par
X20120410,F07,Motile,60,6,Erlotinib,PC9.par
X20120410,F07,Motile,40,7,Erlotinib,PC9.par
X20120410,F07,Motile,37,8,Erlotinib,PC9.par
X20120410,F07,Motile,18,9,Erlotinib,PC9.par
X20120410,F07,Motile,19,10,Erlotinib,PC9.par
X20120410,G05,Sparse,17,0,Erlotinib,PC9.par
X20120410,G05,Sparse,27,1,Erlotinib,PC9.par
X20120410,G05,Sparse,26,2,Erlotinib,PC9.par
X20120410,G05,Sparse,27,3,Erlotinib,PC9.par
X20120410,G05,Sparse,27,4,Erlotinib,PC9.par
X20120410,G05,Sparse,28,5,Erlotinib,PC9.par
X20120410,G05,Sparse,25,6,Erlotinib,PC9.par
X20120410,G05,Sparse,28,7,Erlotinib,PC9.par
X20120410,G05,Sparse,28,8,Erlotinib,PC9.par
X20120410,G05,Sparse,30,9,Erlotinib,PC9.par
