Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX,Pre.well
BPSKMEL,XX,1,2,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day0
BPSKMEL,XX,1,6,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day1
BPSKMEL,XX,1,10,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day2
BPSKMEL,XX,1,13,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day3
BPSKMEL,XX,1,27,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day4
BPSKMEL,XX,1,47,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day5
BPSKMEL,XX,1,50,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day6
BPSKMEL,XX,1,51,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day7
BPSKMEL,XX,1,52,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day8
BPSKMEL,XX,1,27,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day9
BPSKMEL,XX,1,24,9.731066667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day10
BPSKMEL,XX,1,29,10.7534125,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day11
BPSKMEL,XX,1,6,10.99522083,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day12
BPSKMEL,XX,1,4,11.78024167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day13
BPSKMEL,XX,1,4,12.73057917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day14
BPSKMEL,XX,1,3,12.9729875,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day15
BPSKMEL,XX,1,9,13.70632917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day16
BPSKMEL,XX,1,8,14.875775,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day17
BPSKMEL,XX,1,7,16.12682917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day18
BPSKMEL,XX,1,10,16.7051625,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day19
BPSKMEL,XX,1,7,17.764825,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day20
BPSKMEL,XX,2,2,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day0
BPSKMEL,XX,2,6,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day1
BPSKMEL,XX,2,6,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day2
BPSKMEL,XX,2,9,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day3
BPSKMEL,XX,2,18,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day4
