Expt,Well,Subline,Time_h,Cell.count,FUCCI.count,Condition
X20110318,G06,BR1,0,545,228,Erlotinib
X20110318,G06,BR1,1.004444444,554,287,Erlotinib
X20110318,G06,BR1,2.008888889,564,284,Erlotinib
X20110318,G06,BR1,3.013333333,575,286,Erlotinib
X20110318,G06,BR1,4.017777778,589,307,Erlotinib
X20110318,G06,BR1,5.022222222,612,310,Erlotinib
X20110318,G06,BR1,6.026666667,630,318,Erlotinib
X20110318,G06,BR1,7.031111111,636,338,Erlotinib
X20110318,G06,BR1,8.035555556,645,359,Erlotinib
X20110318,G06,BR1,9.04,661,356,Erlotinib
X20110318,G06,BR1,10.04444444,677,364,Erlotinib
X20110318,G06,BR1,11.04888889,692,383,Erlotinib
X20110318,G06,BR1,12.05333333,734,393,Erlotinib
X20110318,G06,BR1,13.05777778,740,399,Erlotinib
X20110318,G06,BR1,14.06222222,741,403,Erlotinib
X20110318,G06,BR1,15.06666667,763,409,Erlotinib
X20110318,G06,BR1,16.07111111,773,431,Erlotinib
X20110318,G06,BR1,17.07555556,792,437,Erlotinib
X20110318,G06,BR1,18.08,807,441,Erlotinib
X20110318,G06,BR1,19.08444444,824,446,Erlotinib
X20110318,G06,BR1,20.08888889,849,447,Erlotinib
X20110318,G06,BR1,21.09333333,849,438,Erlotinib
X20110318,G06,BR1,22.09777778,867,453,Erlotinib
X20110318,G06,BR1,23.10222222,894,457,Erlotinib
X20110318,G06,BR1,24.10666667,920,466,Erlotinib
X20110318,G06,BR1,25.11111111,945,476,Erlotinib
X20110318,G06,BR1,26.11555556,970,469,Erlotinib
X20110318,G06,BR1,27.12,993,467,Erlotinib
X20110318,G06,BR1,28.12444444,1025,459.5,Erlotinib
X20110318,G06,BR1,29.12888889,1057,452,Erlotinib
X20110318,G06,BR1,30.13333333,1080,449,Erlotinib
X20110318,G06,BR1,31.13777778,1100,453,Erlotinib
X20110318,G06,BR1,32.14222222,1087,428,Erlotinib
X20110318,G06,BR1,33.14666667,1166,447,Erlotinib
X20110318,G06,BR1,34.15111111,1164,465,Erlotinib
X20110318,G06,BR1,35.15555556,1148,464,Erlotinib
X20110318,G06,BR1,36.16,1222,494,Erlotinib
X20110318,G06,BR1,37.16444444,1252,506,Erlotinib
X20110318,G06,BR1,38.16888889,1276,505,Erlotinib
X20110318,G06,BR1,39.17333333,1316,502,Erlotinib
X20110318,G06,BR1,40.17777778,1313,503,Erlotinib
X20110318,G06,BR1,41.18222222,1350,504,Erlotinib
X20110318,G06,BR1,42.18666667,1372,494,Erlotinib
X20110318,G06,BR1,43.19111111,1389,507,Erlotinib
X20110318,G06,BR1,44.19555556,1424,500,Erlotinib
X20110318,G06,BR1,45.2,1439,489,Erlotinib
X20110318,G06,BR1,46.20444444,1461,496,Erlotinib
X20110318,G06,BR1,47.20888889,1452,483,Erlotinib
X20110318,G06,BR1,48.21333333,1539,493,Erlotinib
X20110318,G06,BR1,49.21777778,1548,488,Erlotinib
X20110318,G06,BR1,50.22222222,1591,496,Erlotinib
X20110318,G06,BR1,51.22666667,1554,496,Erlotinib
X20110318,G06,BR1,52.23111111,1609,506,Erlotinib
X20110318,G06,BR1,53.23555556,1635,502,Erlotinib
X20110318,G06,BR1,54.24,1653,517,Erlotinib
X20110318,G06,BR1,55.24444444,1715,524,Erlotinib
X20110318,G06,BR1,56.24888889,1710,540,Erlotinib
X20110318,G06,BR1,57.25333333,1719,548,Erlotinib
X20110318,G06,BR1,58.25777778,1720,561,Erlotinib
X20110318,G06,BR1,59.26222222,1769,559,Erlotinib
X20110318,G06,BR1,60.26666667,1790,560,Erlotinib
X20110318,G06,BR1,61.27111111,1820,540,Erlotinib
X20110318,G06,BR1,62.27555556,1843,566,Erlotinib
X20110318,G06,BR1,63.28,1884,568,Erlotinib
X20110318,G06,BR1,64.28444444,1891,569,Erlotinib
X20110318,G06,BR1,65.28888889,1912,583,Erlotinib
X20110318,G06,BR1,66.29333333,1936,567,Erlotinib
X20110318,G06,BR1,67.29777778,1942,577,Erlotinib
X20110318,G06,BR1,68.30222222,1962,579,Erlotinib
X20110318,G06,BR1,69.30666667,1968,585,Erlotinib
X20110318,G06,BR1,70.31111111,2023,573,Erlotinib
X20110318,G06,BR1,71.31555556,2044,589,Erlotinib
X20110318,G06,BR1,72.32,2073,596,Erlotinib
X20110318,G06,BR1,73.32444444,2087,607,Erlotinib
X20110318,G06,BR1,74.32888889,2112,608,Erlotinib
X20110318,G06,BR1,75.33333333,2145,607,Erlotinib
X20110318,G06,BR1,76.33777778,2165,596,Erlotinib
X20110318,G06,BR1,77.34222222,2165,579,Erlotinib
X20110318,G06,BR1,78.34666667,2138,576,Erlotinib
X20110318,G07,BR1,0,509,205,Erlotinib
X20110318,G07,BR1,1.004444444,508,261,Erlotinib
X20110318,G07,BR1,2.008888889,519,271,Erlotinib
X20110318,G07,BR1,3.013333333,396,145,Erlotinib
X20110318,G07,BR1,4.017777778,527,310,Erlotinib
X20110318,G07,BR1,5.022222222,541,312,Erlotinib
X20110318,G07,BR1,6.026666667,559,328,Erlotinib
X20110318,G07,BR1,7.031111111,571,339,Erlotinib
X20110318,G07,BR1,8.035555556,587,343,Erlotinib
X20110318,G07,BR1,9.04,607,335,Erlotinib
X20110318,G07,BR1,10.04444444,617,347,Erlotinib
X20110318,G07,BR1,11.04888889,636,350,Erlotinib
X20110318,G07,BR1,12.05333333,652,360,Erlotinib
X20110318,G07,BR1,13.05777778,671,361,Erlotinib
X20110318,G07,BR1,14.06222222,694,350,Erlotinib
X20110318,G07,BR1,15.06666667,713,352,Erlotinib
X20110318,G07,BR1,16.07111111,742,347,Erlotinib
X20110318,G07,BR1,17.07555556,745,361,Erlotinib
X20110318,G07,BR1,18.08,775,374,Erlotinib
X20110318,G07,BR1,19.08444444,815,383,Erlotinib
X20110318,G07,BR1,20.08888889,822,381,Erlotinib
X20110318,G07,BR1,21.09333333,841,379,Erlotinib
X20110318,G07,BR1,22.09777778,857,378,Erlotinib
X20110318,G07,BR1,23.10222222,901,374,Erlotinib
X20110318,G07,BR1,24.10666667,932,375,Erlotinib
X20110318,G07,BR1,25.11111111,959,382,Erlotinib
X20110318,G07,BR1,26.11555556,970,403,Erlotinib
X20110318,G07,BR1,27.12,968,419,Erlotinib
X20110318,G07,BR1,28.12444444,998,436,Erlotinib
X20110318,G07,BR1,29.12888889,1033,451,Erlotinib
X20110318,G07,BR1,30.13333333,1065,463,Erlotinib
X20110318,G07,BR1,31.13777778,1091,490,Erlotinib
X20110318,G07,BR1,32.14222222,1122,490,Erlotinib
X20110318,G07,BR1,33.14666667,1146,507,Erlotinib
X20110318,G07,BR1,34.15111111,1171,506,Erlotinib
X20110318,G07,BR1,35.15555556,1189,524,Erlotinib
X20110318,G07,BR1,36.16,1218,516,Erlotinib
X20110318,G07,BR1,37.16444444,1231,516,Erlotinib
X20110318,G07,BR1,38.16888889,1268,517,Erlotinib
X20110318,G07,BR1,39.17333333,1309,511,Erlotinib
X20110318,G07,BR1,40.17777778,1316,501,Erlotinib
X20110318,G07,BR1,41.18222222,1355,497,Erlotinib
X20110318,G07,BR1,42.18666667,1361,509,Erlotinib
X20110318,G07,BR1,43.19111111,1423,517,Erlotinib
X20110318,G07,BR1,44.19555556,1468,507,Erlotinib
X20110318,G07,BR1,45.2,1470,515,Erlotinib
X20110318,G07,BR1,46.20444444,1505,497,Erlotinib
X20110318,G07,BR1,47.20888889,1497,485,Erlotinib
X20110318,G07,BR1,48.21333333,1587,488,Erlotinib
X20110318,G07,BR1,49.21777778,1611,493,Erlotinib
X20110318,G07,BR1,50.22222222,1644,495,Erlotinib
X20110318,G07,BR1,51.22666667,1635,518,Erlotinib
X20110318,G07,BR1,52.23111111,1672,520.5,Erlotinib
X20110318,G07,BR1,53.23555556,1709,523,Erlotinib
X20110318,G07,BR1,54.24,1719,525,Erlotinib
X20110318,G07,BR1,55.24444444,1742,549,Erlotinib
X20110318,G07,BR1,56.24888889,1778,557,Erlotinib
X20110318,G07,BR1,57.25333333,1794,562,Erlotinib
X20110318,G07,BR1,58.25777778,1829,567,Erlotinib
X20110318,G07,BR1,59.26222222,1888,583,Erlotinib
X20110318,G07,BR1,60.26666667,1897,609,Erlotinib
X20110318,G07,BR1,61.27111111,1956,611,Erlotinib
X20110318,G07,BR1,62.27555556,1911,625,Erlotinib
X20110318,G07,BR1,63.28,1973,651,Erlotinib
X20110318,G07,BR1,64.28444444,1984,661,Erlotinib
X20110318,G07,BR1,65.28888889,1994,664,Erlotinib
X20110318,G07,BR1,66.29333333,2020,656,Erlotinib
X20110318,G07,BR1,67.29777778,2026,667,Erlotinib
X20110318,G07,BR1,68.30222222,2083,667,Erlotinib
X20110318,G07,BR1,69.30666667,2028,675,Erlotinib
X20110318,G07,BR1,70.31111111,2094,670,Erlotinib
X20110318,G07,BR1,71.31555556,2070,657,Erlotinib
X20110318,G07,BR1,72.32,2131,663,Erlotinib
X20110318,G07,BR1,73.32444444,2192,656,Erlotinib
X20110318,G07,BR1,74.32888889,2224,651,Erlotinib
X20110318,G07,BR1,75.33333333,2249,648,Erlotinib
