"","Expt","Well","Colony","Cell.count","Time.day","Erl","CHX","FSK","TRM","X17A","SB","An","Cell.line","Plate","ABT","PLX"
"1","BPSKMEL","B04",1,2,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"2","BPSKMEL","B04",1,6,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"3","BPSKMEL","B04",1,10,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"4","BPSKMEL","B04",1,13,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"5","BPSKMEL","B04",1,27,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"6","BPSKMEL","B04",1,47,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"7","BPSKMEL","B04",1,50,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"8","BPSKMEL","B04",1,51,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"9","BPSKMEL","B04",1,52,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"10","BPSKMEL","B04",1,27,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"11","BPSKMEL","B04",1,24,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"12","BPSKMEL","B04",1,29,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"13","BPSKMEL","B04",1,6,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"14","BPSKMEL","B04",1,4,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"15","BPSKMEL","B04",1,4,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"16","BPSKMEL","B04",1,3,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"17","BPSKMEL","B04",1,9,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"18","BPSKMEL","B04",1,8,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"19","BPSKMEL","B04",1,7,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"20","BPSKMEL","B04",1,10,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"21","BPSKMEL","B04",1,7,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"22","BPSKMEL","B04",2,2,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"23","BPSKMEL","B04",2,6,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"24","BPSKMEL","B04",2,6,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"25","BPSKMEL","B04",2,9,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"26","BPSKMEL","B04",2,18,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"27","BPSKMEL","B04",2,29,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"28","BPSKMEL","B04",2,49,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"29","BPSKMEL","B04",2,49,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"30","BPSKMEL","B04",2,65,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"31","BPSKMEL","B04",2,56,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"32","BPSKMEL","B04",2,52,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"33","BPSKMEL","B04",2,51,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"34","BPSKMEL","B04",2,42,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"35","BPSKMEL","B04",2,42,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"36","BPSKMEL","B04",2,39,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"37","BPSKMEL","B04",2,2,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"38","BPSKMEL","B04",2,5,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
