Slice,Count,Time.day,Row,Well,CHX
WellR02-C02H2B_day0,1136,0,B,B02,500
WellR02-C02H2B_day1,1419,1,B,B02,500
WellR02-C02H2B_day2,1579,2,B,B02,500
WellR02-C02H2B_day3,1720,3,B,B02,500
WellR02-C02H2B_day4,1936,4,B,B02,500
WellR02-C02H2B_day5,1806,5,B,B02,500
WellR02-C02H2B_day6,2007,6,B,B02,500
WellR02-C02H2B_day7,2003,7,B,B02,500
WellR02-C02H2B_day8,2126,8,B,B02,500
WellR02-C02H2B_day9,2316,9,B,B02,500
WellR02-C02H2B_day10,2560,10,B,B02,500
WellR02-C03H2B_day0,1309,0,B,B03,500
WellR02-C03H2B_day1,1669,1,B,B03,500
WellR02-C03H2B_day2,1916,2,B,B03,500
WellR02-C03H2B_day3,2144,3,B,B03,500
WellR02-C03H2B_day4,2010,4,B,B03,500
WellR02-C03H2B_day5,2223,5,B,B03,500
WellR02-C03H2B_day6,2359,6,B,B03,500
WellR02-C03H2B_day7,2182,7,B,B03,500
WellR02-C03H2B_day8,2389,8,B,B03,500
WellR02-C03H2B_day9,2670,9,B,B03,500
WellR02-C03H2B_day10,2803,10,B,B03,500
WellR02-C04H2B_day0,1529,0,B,B04,500
WellR02-C04H2B_day1,2059,1,B,B04,500
WellR02-C04H2B_day2,2293,2,B,B04,500
WellR02-C04H2B_day3,2235,3,B,B04,500
WellR02-C04H2B_day4,2343,4,B,B04,500
WellR02-C04H2B_day5,2573,5,B,B04,500
WellR02-C04H2B_day6,2785,6,B,B04,500
WellR02-C04H2B_day7,2692,7,B,B04,500
WellR02-C04H2B_day8,2772,8,B,B04,500
WellR02-C04H2B_day9,3031,9,B,B04,500
WellR02-C04H2B_day10,3356,10,B,B04,500
WellR02-C05H2B_day0,1296,0,B,B05,500
WellR02-C05H2B_day1,1589,1,B,B05,500
WellR02-C05H2B_day2,1930,2,B,B05,500
WellR02-C05H2B_day3,2095,3,B,B05,500
WellR02-C05H2B_day4,2094,4,B,B05,500
WellR02-C05H2B_day5,2165,5,B,B05,500
WellR02-C05H2B_day6,2303,6,B,B05,500
WellR02-C05H2B_day7,2320,7,B,B05,500
WellR02-C05H2B_day8,2536,8,B,B05,500
WellR02-C05H2B_day9,2804,9,B,B05,500
WellR02-C05H2B_day10,3152,10,B,B05,500
WellR02-C10H2B_day0,984,0,B,B10,0
WellR02-C10H2B_day1,1987,1,B,B10,0
WellR02-C10H2B_day2,3106,2,B,B10,0
WellR02-C10H2B_day3,5069,3,B,B10,0
WellR02-C10H2B_day4,9043,4,B,B10,0
WellR02-C10H2B_day5,14519,5,B,B10,0
WellR02-C10H2B_day6,23059,6,B,B10,0
WellR02-C10H2B_day7,32585,7,B,B10,0
WellR02-C10H2B_day8,44754,8,B,B10,0
WellR02-C10H2B_day9,50312,9,B,B10,0
WellR02-C10H2B_day10,41312,10,B,B10,0
WellR03-C10H2B_day0,1066,0,C,C10,0
WellR03-C10H2B_day1,1955,1,C,C10,0
WellR03-C10H2B_day2,3495,2,C,C10,0
WellR03-C10H2B_day3,6110,3,C,C10,0
WellR03-C10H2B_day4,10366,4,C,C10,0
WellR03-C10H2B_day5,16754,5,C,C10,0
WellR03-C10H2B_day6,26822,6,C,C10,0
WellR03-C10H2B_day7,34369,7,C,C10,0
WellR03-C10H2B_day8,43660,8,C,C10,0
WellR03-C10H2B_day9,49896,9,C,C10,0
WellR03-C10H2B_day10,40284,10,C,C10,0
WellR04-C10H2B_day0,1199,0,D,D10,0
WellR04-C10H2B_day1,2204,1,D,D10,0
WellR04-C10H2B_day2,3587,2,D,D10,0
WellR04-C10H2B_day3,6041,3,D,D10,0
WellR04-C10H2B_day4,10559,4,D,D10,0
WellR04-C10H2B_day5,16729,5,D,D10,0
WellR04-C10H2B_day6,26447,6,D,D10,0
WellR04-C10H2B_day7,33653,7,D,D10,0
WellR04-C10H2B_day8,43740,8,D,D10,0
WellR04-C10H2B_day9,49688,9,D,D10,0
WellR04-C10H2B_day10,42634,10,D,D10,0
WellR05-C10H2B_day0,1284,0,E,E10,0
WellR05-C10H2B_day1,2419,1,E,E10,0
WellR05-C10H2B_day2,4207,2,E,E10,0
WellR05-C10H2B_day3,7355,3,E,E10,0
WellR05-C10H2B_day4,12935,4,E,E10,0
WellR05-C10H2B_day5,19665,5,E,E10,0
WellR05-C10H2B_day6,29852,6,E,E10,0
WellR05-C10H2B_day7,37138,7,E,E10,0
WellR05-C10H2B_day8,43640,8,E,E10,0
WellR05-C10H2B_day9,50391,9,E,E10,0
WellR05-C10H2B_day10,35037,10,E,E10,0
