Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX
X20130911,C02,A,15,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,20,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,18,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,23,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,30,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,44,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,47,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,58,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,85,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,115,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,A,142,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,69,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,126,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,162,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,191,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,213,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,215,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,215,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,166,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,163,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,160,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,B,144,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,23,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,32,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,48,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,51,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,62,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,66,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,72,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,73,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,84,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,84,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,C,84,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,D,29,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,D,53,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,D,92,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,D,122,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,D,142,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,D,157,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,D,151,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,D,129,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
