Well,Colony,CellCount,Expt,Time_Day,Condition,Cell.line,Paired,,,,,,,
H02,C,10,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H02,C,13,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H02,C,34,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H02,C,44,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H02,C,59,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H02,C,59,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H02,C,49,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H02,C,75,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H02,C,71,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H02,C,55,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H02,C,43,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G02,B,11,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G02,B,15,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G02,B,19,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G02,B,17,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G02,B,18,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G02,B,8,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G02,B,7,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G02,B,8,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G02,B,4,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G02,B,5,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G02,B,2,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G07,B,18,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G07,B,34,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G07,B,60,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G07,B,69,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G07,B,115,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G07,B,135,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G07,B,138,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G07,B,183,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G07,B,193,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G07,B,225,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G07,B,253,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G01,F,23,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G01,F,43,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G01,F,53,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G01,F,60,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G01,F,54,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G01,F,61,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G01,F,29,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G01,F,67,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G01,F,76,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G01,F,71,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G01,F,73,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
F08,B,29,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
F08,B,36,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
F08,B,45,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
F08,B,43,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
F08,B,43,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
F08,B,42,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
F08,B,41,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
F08,B,41,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
F08,B,40,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
F08,B,37,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
F08,B,36,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G08,B,31,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G08,B,37,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G08,B,12,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G08,B,13,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G08,B,13,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G08,B,9,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G08,B,11,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G08,B,7,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G08,B,5,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G08,B,4,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G08,B,7,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
F08,C,36,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
F08,C,48,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
F08,C,45,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
F08,C,39,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
F08,C,27,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
F08,C,22,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
F08,C,22,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
F08,C,21,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
F08,C,17,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
F08,C,14,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
F08,C,10,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H10,C,41,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H10,C,61,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H10,C,68,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H10,C,61,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H10,C,44,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H10,C,34,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H10,C,19,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H10,C,11,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H10,C,7,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H10,C,1,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H10,C,1,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H09,A,41,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H09,A,45,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H09,A,46,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H09,A,58,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H09,A,60,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H09,A,53,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H09,A,41,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H09,A,41,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H09,A,37,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H09,A,24,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H09,A,22,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G02,D,44,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G02,D,57,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G02,D,77,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G02,D,67,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G02,D,79,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G02,D,78,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G02,D,54,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G02,D,72,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G02,D,49,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G02,D,47,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G02,D,44,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G03,E,44,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G03,E,65,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G03,E,70,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G03,E,71,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G03,E,67,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G03,E,65,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G03,E,71,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G03,E,78,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G03,E,71,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G03,E,58,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G03,E,45,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G03,B,46,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G03,B,70,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G03,B,73,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G03,B,72,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G03,B,67,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G03,B,65,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G03,B,73,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G03,B,79,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G03,B,71,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G03,B,59,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G03,B,46,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H03,A,49,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H03,A,56,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H03,A,44,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H03,A,39,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H03,A,37,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H03,A,32,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H03,A,29,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H03,A,27,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H03,A,19,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H03,A,14,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H03,A,12,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G10,D,50,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G10,D,88,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G10,D,130,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G10,D,138,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G10,D,172,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G10,D,183,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G10,D,193,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G10,D,213,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G10,D,224,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G10,D,219,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G10,D,246,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H03,B,53,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H03,B,71,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H03,B,85,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H03,B,82,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H03,B,73,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H03,B,72,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H03,B,65,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H03,B,54,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H03,B,49,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H03,B,48,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H03,B,41,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G02,A,54,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G02,A,77,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G02,A,94,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G02,A,109,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G02,A,136,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G02,A,146,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G02,A,162,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G02,A,178,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G02,A,171,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G02,A,183,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G02,A,199,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G01,B,55,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G01,B,68,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G01,B,75,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G01,B,73,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G01,B,81,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G01,B,82,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G01,B,65,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G01,B,71,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G01,B,52,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G01,B,55,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G01,B,44,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G10,E,55,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G10,E,102,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G10,E,104,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G10,E,69,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G10,E,77,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G10,E,28,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G10,E,43,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G10,E,20,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G10,E,2,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G10,E,2,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G10,E,3,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G03,C,56,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G03,C,99,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G03,C,139,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G03,C,135,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G03,C,155,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G03,C,129,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G03,C,100,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G03,C,92,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G03,C,30,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G03,C,24,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G03,C,21,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H02,A,58,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H02,A,71,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H02,A,77,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H02,A,72,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H02,A,65,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H02,A,56,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H02,A,38,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H02,A,34,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H02,A,14,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H02,A,16,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H02,A,13,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G03,D,69,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G03,D,125,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G03,D,134,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G03,D,150,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G03,D,199,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G03,D,231,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G03,D,257,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G03,D,250,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G03,D,250,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G03,D,241,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G03,D,251,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H10,B,85,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H10,B,104,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H10,B,92,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H10,B,73,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H10,B,71,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H10,B,49,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H10,B,38,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H10,B,34,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H10,B,17,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H10,B,16,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H10,B,20,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
G02,C,82,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
G02,C,135,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
G02,C,147,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
G02,C,130,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
